ui,intervention,p_self_k,p_other_k,p_beta,p_other_self_k,p_self_choice,p_other_choice,l_self_k,l_other_k,l_beta,l_other_self_k,l_self_choice,l_other_choice,h_self_k,h_other_k,h_beta,h_other_self_k,h_self_choice,h_other_choice
155,0,0.00672499332212691,0.0314242380262433,1.30803471459368,0.0246992447041164,1,0.91304347826087,0.029225202691378,0.138494511241285,1.34827695038949,0.109269308549907,1,0.91304347826087,0.0338724104205812,0.18963694140598,2.15325645940491,0.155764530985399,1,0.91304347826087
332,1,0.00652779142491812,0.0666937317792013,0.940757728527988,0.0601659403542832,1,0.714285714285714,0.0283990862182183,0.350238811232283,1.09123275120176,0.321839725014065,1,0.714285714285714,0.0330435305629358,0.444962036054533,2.02738284219984,0.411918505491597,1,0.714285714285714
548,0,0.0076011446249918,0.0164344239719285,1.75689461940764,0.00883327934693671,1,1,0.0364116796961593,0.0782128479990434,1.82638519455396,0.0418011683028841,1,1,0.047908608944497,0.055890351777456,2.30721463939956,0.00798174283295904,1,1
849,1,0.0373283767633001,0.017171730396964,1.54321163372924,-0.0201566463663362,1,1,0.128623703521574,0.0783080238656996,1.51783630015128,-0.0503156796558748,1,1,0.131112941630128,0.0682324102275505,2.18470238776692,-0.0628805314025776,1,1
893,1,0.00814423140031121,0.0170426475500645,2.67636464382188,0.0088984161497533,1,1,0.0362586535685994,0.0762613070082511,2.73388663893874,0.0400026534396517,1,1,0.0450219471991174,0.0592208861207318,3.87965305704543,0.0141989389216144,1,1
974,1,0.136093434327474,0.125296693171769,1.18658219790688,-0.0107967411557044,0.684210526315789,0.636363636363636,0.540851913736467,0.50163709360504,1.22994780942381,-0.0392148201314266,0.684210526315789,0.636363636363636,0.474606116407526,0.468645573356708,2.47190042867589,-0.00596054305081845,0.684210526315789,0.636363636363636
1019,1,0.00655668631761663,0.433750497156346,1.03774488210243,0.42719381083873,1,0.0454545454545455,0.029819767293755,1.28754406001719,1.4949880432133,1.25772429272344,1,0.0454545454545455,0.0466153647746969,1.5301472065537,4.13799112587611,1.483531841779,1,0.0454545454545455
1083,1,0.0828311516540659,0.121527110723999,1.35355703522361,0.0386959590699327,0.75,0.727272727272727,0.27729419277363,0.444240610692196,1.08816043299657,0.166946417918565,0.75,0.727272727272727,0.25364219796836,0.392043697307802,2.16147504542705,0.138401499339443,0.75,0.727272727272727
1126,0,0.00783396738251287,0.0548194836384355,0.849991475494607,0.0469855162559227,1,0.944444444444444,0.0376105601567214,0.254594639640354,0.910169118473795,0.216984079483632,1,0.944444444444444,0.0475062645736158,0.280971161996995,1.37668821015267,0.233464897423379,1,0.944444444444444
1252,1,0.0120349690004356,0.0282566867915007,0.802114202877509,0.0162217177910651,0.869565217391304,0.869565217391304,0.0517711112119182,0.119790463009581,0.82436226581097,0.068019351797663,0.869565217391304,0.869565217391304,0.0891377120219976,0.122655050740936,1.16493073495272,0.033517338718938,0.869565217391304,0.869565217391304
1363,0,0.018232682712821,0.0873890239909469,0.5570420786575,0.0691563412781259,0.666666666666667,0.75,0.101107597995316,0.348288871880472,0.59262728354876,0.247181273885156,0.666666666666667,0.75,0.214521745348616,0.30213736345015,1.04344280400121,0.0876156181015334,0.666666666666667,0.75
