"ID","grupo","Fatigue_pre_7","Fatigue_post_7","NASA_effort_easy_4","NASA_effort_hard_4","NASA_diff","Fatigue_diff"
155,0,81,60,10,10,0,-21
332,1,70,78,60,74,14,8
548,0,18,28,30,22,-8,10
849,1,52,43,18,50,32,-9
893,1,0,0,1,0,-1,0
974,1,72,70,9,61,52,-2
1019,1,80,82,40,38,-2,2
1083,1,60,70,20,90,70,10
1126,0,50,50,10,10,0,0
1252,1,82,41,42,51,9,-41
1363,0,91,88,8,8,0,-3
1423,1,86,92,2,0,-2,6
1499,0,65,65,10,50,40,0
1867,0,40,52,40,95,55,12
1870,1,82,82,0,5,5,0
2397,0,64,65,0,76,76,1
2411,1,75,98,45,77,32,23
2431,1,60,61,0,0,0,1
2690,0,81,99,11,9,-2,18
2803,0,100,100,70,100,30,0
2854,0,80,60,0,0,0,-20
2899,0,20,30,60,71,11,10
2959,0,0,5,0,0,0,5
2998,0,29,51,21,81,60,22
3103,1,80,71,0,61,61,-9
3178,1,92,94,32,72,40,2
3210,1,40,60,20,51,31,20
3228,1,17,0,0,0,0,-17
3472,0,50,39,1,60,59,-11
3624,0,41,29,30,71,41,-12
3771,1,100,100,51,60,9,0
3928,1,92,100,27,39,12,8
4164,0,70,72,0,0,0,2
4231,0,11,18,9,22,13,7
4241,1,18,26,29,40,11,8
4625,1,9,9,0,0,0,0
4920,0,39,43,0,30,30,4
4961,1,82,83,80,82,2,1
5096,1,71,56,0,40,40,-15
5113,0,20,20,0,0,0,0
5156,0,8,11,10,16,6,3
5273,1,60,40,0,30,30,-20
5495,0,61,61,9,21,12,0
5654,0,20,39,10,61,51,19
5822,1,53,67,7,17,10,14
5835,1,70,81,0,7,7,11
5918,0,60,60,25,40,15,0
6055,0,70,80,0,30,30,10
6121,0,62,60,9,9,0,-2
6246,1,50,40,20,63,43,-10
6324,1,100,93,52,50,-2,-7
6332,1,9,40,0,0,0,31
6335,0,70,0,0,6,6,-70
6397,0,70,82,60,71,11,12
6469,1,60,71,41,39,-2,11
6495,0,19,28,5,41,36,9
6604,0,70,71,10,10,0,1
6644,0,50,58,0,44,44,8
6707,1,50,50,4,10,6,0
7047,1,69,60,30,30,0,-9
7107,1,19,20,0,18,18,1
7389,1,18,100,0,1,1,82
7512,1,59,41,40,41,1,-18
7656,0,65,60,50,61,11,-5
7772,0,20,20,4,73,69,0
7803,0,71,82,11,38,27,11
7875,1,51,30,19,18,-1,-21
7927,0,79,62,21,59,38,-17
7937,1,1,0,13,10,-3,-1
8228,1,0,0,0,0,0,0
8251,1,91,100,0,2,2,9
8604,1,79,79,30,31,1,0
8704,0,71,77,18,92,74,6
8925,1,60,80,18,8,-10,20
8949,0,62,72,0,0,0,10
8987,0,29,40,8,20,12,11
9045,0,77,78,1,64,63,1
9203,0,60,41,30,71,41,-19
9350,0,81,89,0,80,80,8
9477,1,0,1,0,1,1,1
9585,1,80,71,0,20,20,-9
9593,1,100,100,0,0,0,0
9620,1,72,72,20,61,41,0
9779,0,70,71,0,0,0,1
