"VD","Escala","rho","p_value","sig"
"h_self_k","CSI_DIRt",-0.073,0.5166,""
"h_self_k","GHQ12_DIRt",0.061,0.59,""
"h_self_k","IRI_DIRt",0.088,0.4346,""
"h_self_k","LSNS_DIRt",0.053,0.6357,""
"h_self_k","MAIA_DIRt",-0.09,0.4223,""
"h_self_k","PSQQ_DIRt",0.032,0.7795,""
"h_self_k","PSS_DIRt",0.057,0.6157,""
"h_self_k","RMET_DIRt",-0.049,0.6659,""
"h_self_k","SASS_DIRt",-0.004,0.974,""
"h_self_k","SWBS_DIRt",-0.115,0.3059,""
"h_self_k","UCLA_DIRt",0.076,0.4987,""
"h_self_k","WAST_DIRt",0.027,0.8135,""
"h_self_k","ASSIST_DIRt",0.255,0.0218,"*"
"h_self_k","DASS21_depresion_DIRd",0.116,0.3042,""
"h_self_k","DASS21_ansiedad_DIRd",0.045,0.6878,""
"h_self_k","DASS21_estres_DIRd",0.014,0.9043,""
"h_self_k","IFS_Total_DIRd",-0.052,0.6471,""
"h_self_k","IRI_TomaPerspectiva_DIRd",0.067,0.5535,""
"h_self_k","IRI_Fantasia_DIRd",0.172,0.1253,""
"h_self_k","IRI_PreocupacionEmpatica_DIRd",-0.047,0.6752,""
"h_self_k","IRI_IncomodidadPersonal_DIRd",0.008,0.947,""
"h_self_k","LSNS_Familiares_DIRd",0.02,0.8583,""
"h_self_k","LSNS_Amistados_DIRd",0.087,0.4417,""
"h_self_k","SWBS_IntegracionSocial_DIRd",-0.036,0.7473,""
"h_self_k","SWBS_AceptacionSocial_DIRd",0.036,0.7467,""
"h_self_k","SWBS_ContribucionSocial_DIRd",-0.084,0.4565,""
"h_self_k","SWBS_ActualizacionSocial_DIRd",0.031,0.7851,""
"h_self_k","SWBS_CoherenciaSocial_DIRd",-0.226,0.0429,"*"
"h_other_k","CSI_DIRt",-0.102,0.3661,""
"h_other_k","GHQ12_DIRt",0.301,0.0064,"**"
"h_other_k","IRI_DIRt",-0.161,0.1512,""
"h_other_k","LSNS_DIRt",-0.143,0.2019,""
"h_other_k","MAIA_DIRt",-0.013,0.9101,""
"h_other_k","PSQQ_DIRt",-0.091,0.419,""
"h_other_k","PSS_DIRt",0.081,0.4746,""
"h_other_k","RMET_DIRt",0.354,0.0012,"**"
"h_other_k","SASS_DIRt",-0.011,0.9244,""
"h_other_k","SWBS_DIRt",-0.088,0.4322,""
"h_other_k","UCLA_DIRt",0.163,0.1457,""
"h_other_k","WAST_DIRt",0.136,0.2245,""
"h_other_k","ASSIST_DIRt",0.017,0.8816,""
"h_other_k","DASS21_depresion_DIRd",0.223,0.0451,"*"
"h_other_k","DASS21_ansiedad_DIRd",0.036,0.7472,""
"h_other_k","DASS21_estres_DIRd",0.024,0.8334,""
"h_other_k","IFS_Total_DIRd",0.087,0.441,""
"h_other_k","IRI_TomaPerspectiva_DIRd",-0.15,0.1815,""
"h_other_k","IRI_Fantasia_DIRd",-0.2,0.0732,"."
"h_other_k","IRI_PreocupacionEmpatica_DIRd",0.016,0.8857,""
"h_other_k","IRI_IncomodidadPersonal_DIRd",-0.023,0.8409,""
"h_other_k","LSNS_Familiares_DIRd",-0.108,0.3392,""
"h_other_k","LSNS_Amistados_DIRd",-0.138,0.2191,""
"h_other_k","SWBS_IntegracionSocial_DIRd",-0.004,0.9707,""
"h_other_k","SWBS_AceptacionSocial_DIRd",-0.064,0.5729,""
"h_other_k","SWBS_ContribucionSocial_DIRd",-0.213,0.0562,"."
"h_other_k","SWBS_ActualizacionSocial_DIRd",-0.009,0.9398,""
"h_other_k","SWBS_CoherenciaSocial_DIRd",0.003,0.979,""
"h_other_self_k","CSI_DIRt",-0.042,0.711,""
"h_other_self_k","GHQ12_DIRt",0.302,0.0061,"**"
"h_other_self_k","IRI_DIRt",-0.215,0.054,"."
"h_other_self_k","LSNS_DIRt",-0.176,0.1157,""
"h_other_self_k","MAIA_DIRt",-0.011,0.9204,""
"h_other_self_k","PSQQ_DIRt",-0.141,0.2101,""
"h_other_self_k","PSS_DIRt",0.086,0.4435,""
"h_other_self_k","RMET_DIRt",0.341,0.0018,"**"
"h_other_self_k","SASS_DIRt",-0.04,0.7219,""
"h_other_self_k","SWBS_DIRt",-0.115,0.3057,""
"h_other_self_k","UCLA_DIRt",0.173,0.1214,""
"h_other_self_k","WAST_DIRt",0.108,0.3389,""
"h_other_self_k","ASSIST_DIRt",-0.051,0.6499,""
"h_other_self_k","DASS21_depresion_DIRd",0.184,0.1002,""
"h_other_self_k","DASS21_ansiedad_DIRd",-0.013,0.9093,""
"h_other_self_k","DASS21_estres_DIRd",0.008,0.9418,""
"h_other_self_k","IFS_Total_DIRd",0.068,0.5436,""
"h_other_self_k","IRI_TomaPerspectiva_DIRd",-0.203,0.0694,"."
"h_other_self_k","IRI_Fantasia_DIRd",-0.262,0.0179,"*"
"h_other_self_k","IRI_PreocupacionEmpatica_DIRd",-0.005,0.9674,""
"h_other_self_k","IRI_IncomodidadPersonal_DIRd",-0.057,0.6108,""
"h_other_self_k","LSNS_Familiares_DIRd",-0.162,0.1481,""
"h_other_self_k","LSNS_Amistados_DIRd",-0.151,0.1776,""
"h_other_self_k","SWBS_IntegracionSocial_DIRd",-0.049,0.6634,""
"h_other_self_k","SWBS_AceptacionSocial_DIRd",-0.131,0.2434,""
"h_other_self_k","SWBS_ContribucionSocial_DIRd",-0.199,0.0756,"."
"h_other_self_k","SWBS_ActualizacionSocial_DIRd",-0.086,0.4451,""
"h_other_self_k","SWBS_CoherenciaSocial_DIRd",0.021,0.852,""
