"","sub","decision","reward","effort","agent","success","grupo","tasa_fallo_self","tasa_fallo_other","zeros_SELF","zeros_OTHER","AIM_2","AIM_3","AIM_4","AIM_num","trail"
"1",129,1,1,1,0,0,0,13.64,0,0,58.33,2,3,4,5,1
"2",129,1,2,1,0,0,0,13.64,0,0,58.33,2,3,4,5,2
"3",129,1,3,1,0,0,0,13.64,0,0,58.33,2,3,4,5,3
"4",129,1,1,2,0,0,0,13.64,0,0,58.33,2,3,4,5,4
"5",129,1,2,2,0,0,0,13.64,0,0,58.33,2,3,4,5,5
"6",129,1,3,2,0,0,0,13.64,0,0,58.33,2,3,4,5,6
"7",129,0,1,3,0,0,0,13.64,0,0,58.33,2,3,4,5,7
"8",129,1,2,3,0,0,0,13.64,0,0,58.33,2,3,4,5,8
"9",129,1,3,3,0,0,0,13.64,0,0,58.33,2,3,4,5,9
"10",129,0,1,4,0,0,0,13.64,0,0,58.33,2,3,4,5,10
"11",129,1,2,4,0,0,0,13.64,0,0,58.33,2,3,4,5,11
"12",129,1,3,4,0,0,0,13.64,0,0,58.33,2,3,4,5,12
"13",129,1,1,1,0,0,0,13.64,0,0,58.33,2,3,4,5,13
"14",129,1,2,1,0,0,0,13.64,0,0,58.33,2,3,4,5,14
"15",129,1,3,1,0,0,0,13.64,0,0,58.33,2,3,4,5,15
"16",129,1,1,2,0,0,0,13.64,0,0,58.33,2,3,4,5,16
"17",129,1,2,2,0,0,0,13.64,0,0,58.33,2,3,4,5,17
"18",129,1,3,2,0,0,0,13.64,0,0,58.33,2,3,4,5,18
"19",129,1,1,3,0,0,0,13.64,0,0,58.33,2,3,4,5,19
"20",129,1,2,3,0,1,0,13.64,0,0,58.33,2,3,4,5,20
"21",129,1,3,3,0,0,0,13.64,0,0,58.33,2,3,4,5,21
"22",129,1,1,4,0,1,0,13.64,0,0,58.33,2,3,4,5,22
"23",129,1,2,4,0,1,0,13.64,0,0,58.33,2,3,4,5,23
"24",129,1,3,4,0,0,0,13.64,0,0,58.33,2,3,4,5,24
"25",129,0,1,1,1,0,0,13.64,0,0,58.33,2,3,4,5,25
"26",129,1,2,1,1,0,0,13.64,0,0,58.33,2,3,4,5,26
"27",129,0,3,1,1,0,0,13.64,0,0,58.33,2,3,4,5,27
"28",129,0,1,2,1,0,0,13.64,0,0,58.33,2,3,4,5,28
"29",129,0,2,2,1,0,0,13.64,0,0,58.33,2,3,4,5,29
"30",129,0,3,2,1,0,0,13.64,0,0,58.33,2,3,4,5,30
"31",129,0,1,3,1,0,0,13.64,0,0,58.33,2,3,4,5,31
"32",129,2,2,3,1,0,0,13.64,0,0,58.33,2,3,4,5,32
"33",129,0,3,3,1,0,0,13.64,0,0,58.33,2,3,4,5,33
"34",129,2,1,4,1,0,0,13.64,0,0,58.33,2,3,4,5,34
"35",129,2,2,4,1,0,0,13.64,0,0,58.33,2,3,4,5,35
"36",129,0,3,4,1,0,0,13.64,0,0,58.33,2,3,4,5,36
"37",129,2,1,1,1,0,0,13.64,0,0,58.33,2,3,4,5,37
"38",129,0,2,1,1,0,0,13.64,0,0,58.33,2,3,4,5,38
"39",129,2,3,1,1,0,0,13.64,0,0,58.33,2,3,4,5,39
