"VD","term","estimate","std.error","statistic","p.value","sig"
"h_self_k","(Intercept)",0.1356,0.2343,0.5788,0.5646,""
"h_self_k","grupo",-0.0367,0.0393,-0.9331,0.354,""
"h_self_k","IRI_DIRt",-0.0017,0.0024,-0.7008,0.4858,""
"h_self_k","SWBS_DIRt",-2e-04,0.0016,-0.1333,0.8943,""
"h_self_k","PSS_DIRt",5e-04,0.0041,0.1221,0.9031,""
"h_self_k","UCLA_DIRt",-0.0025,0.0044,-0.5701,0.5704,""
"h_self_k","LSNS_DIRt",8e-04,0.0019,0.4146,0.6797,""
"h_self_k","DASS21_depresion_DIRd",-4e-04,0.0033,-0.1194,0.9053,""
"h_self_k","IFS_Total_DIRd",0.0076,0.005,1.5063,0.1365,""
"h_self_k","RMET_DIRt",1e-04,0.0048,0.0183,0.9854,""
"h_self_k","ASSIST_DIRt",8e-04,0.001,0.7466,0.4578,""
"h_self_k","SWBS_CoherenciaSocial_DIRd",-0.0022,0.0055,-0.3947,0.6942,""
"h_self_k","GHQ12_DIRt",-0.0011,0.004,-0.2768,0.7828,""
"h_self_k","IRI_Fantasia_DIRd",0.0011,0.0052,0.2049,0.8382,""
"h_other_k","(Intercept)",0.0517,0.5437,0.0951,0.9245,""
"h_other_k","grupo",0.0311,0.0913,0.3402,0.7347,""
"h_other_k","IRI_DIRt",-0.0025,0.0057,-0.4352,0.6647,""
"h_other_k","SWBS_DIRt",0.0046,0.0038,1.2056,0.232,""
"h_other_k","PSS_DIRt",-0.014,0.0095,-1.4725,0.1454,""
"h_other_k","UCLA_DIRt",8e-04,0.0102,0.0818,0.935,""
"h_other_k","LSNS_DIRt",-0.0012,0.0043,-0.267,0.7903,""
"h_other_k","DASS21_depresion_DIRd",0.011,0.0077,1.4376,0.155,""
"h_other_k","IFS_Total_DIRd",-0.0053,0.0117,-0.4545,0.6509,""
"h_other_k","RMET_DIRt",0.036,0.0112,3.2036,0.002,"**"
"h_other_k","ASSIST_DIRt",0.0015,0.0024,0.6173,0.539,""
"h_other_k","SWBS_CoherenciaSocial_DIRd",-0.0198,0.0128,-1.5462,0.1266,""
"h_other_k","GHQ12_DIRt",0.0233,0.0094,2.486,0.0153,"*"
"h_other_k","IRI_Fantasia_DIRd",-0.0226,0.0122,-1.8575,0.0675,"."
"h_other_self_k","(Intercept)",-0.0839,0.5236,-0.1602,0.8732,""
"h_other_self_k","grupo",0.0677,0.0879,0.7708,0.4434,""
"h_other_self_k","IRI_DIRt",-8e-04,0.0055,-0.1384,0.8903,""
"h_other_self_k","SWBS_DIRt",0.0048,0.0037,1.3116,0.1939,""
"h_other_self_k","PSS_DIRt",-0.0145,0.0092,-1.5837,0.1178,""
"h_other_self_k","UCLA_DIRt",0.0033,0.0098,0.34,0.7348,""
"h_other_self_k","LSNS_DIRt",-0.0019,0.0042,-0.4627,0.645,""
"h_other_self_k","DASS21_depresion_DIRd",0.0114,0.0074,1.5462,0.1266,""
"h_other_self_k","IFS_Total_DIRd",-0.0129,0.0113,-1.1458,0.2558,""
"h_other_self_k","RMET_DIRt",0.0359,0.0108,3.3185,0.0014,"**"
"h_other_self_k","ASSIST_DIRt",7e-04,0.0023,0.307,0.7597,""
"h_other_self_k","SWBS_CoherenciaSocial_DIRd",-0.0176,0.0124,-1.429,0.1575,""
"h_other_self_k","GHQ12_DIRt",0.0244,0.009,2.7054,0.0086,"**"
"h_other_self_k","IRI_Fantasia_DIRd",-0.0237,0.0117,-2.0205,0.0472,"*"
